fund_id,fund_name,Despesa,Liquidado,liquidated_brl
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909228 - PENSIONISTAS DE EXERCICIOS ANTERIORES,"              92.275,91",479410.262814
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909229 - ENCARGOS SOCIAIS DE EXERCICIOS ANTERIORES,"           9.251.052,68",48062919.093672
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909412 - INDENIZ.POR DEMISSAO DE SERVID.OU EMPREG.,"           5.209.164,95",27063695.581230003
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909413 - DESP.COM INCENTIVO A DEMISSAO VOLUNTARIA,"           8.126.920,82",42222604.428228006
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909416 - OUTRAS INDENIZACOES DE PESSOAL,"             815.554,59",4237132.316886
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909434 - REEMB.FERIAS-OUTRO PODER E MIN.PUBL.-ATIVOS,"         179.185.129,36",930938421.0769441
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909435 - REMB.FERIAS-OUTRO PODER E MIN.PUBLI-INATIVOS,"           7.546.621,21",39207715.834434
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909601 - RESSARC. DESP. PESS.REQUISITADO DE EMPRESAS,"         130.383.682,77",677395385.463258
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909602 - RESSARC.DESP.PESS.REQUISITADO-OUTROS PODERES,"              61.584,81",319957.721874
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909603 - RESSARC. DESP.PESS.REQUISITADO-OUTRAS ESFERA,"           2.393.024,09",12432717.357185999
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31910701 - CONTRIBUICAO PATRONAL,"           4.899.509,00",25454909.0586
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31910843 - AUXíLIO-RECLUSãO (LC 1.012/07),"                 100,00",519.5400000000001
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31911113 - VENCIMENTOS,"         812.418.674,11",4220839979.471094
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31911301 - CONTRIB PATRONAL-SAO PAULO PREVIDENCIA-SPPRE,"       6.968.315.732,98",36203187559.12429
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31911302 - CONTRIB ESTADO P/COBERTURA INSUF FIN-SPPREV,"      21.706.490.260,05",112773899497.06377
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31911305 - OBRIGACOES PATRONAIS,"         193.632.144,59",1005996444.002886
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31911617 - OUTRAS DESPESAS VARIAVEIS-PESSOAL CIVIL,"           2.516.126,00",13072281.0204
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31919224 - DESPESAS DE PESSOAL DE EXERCíCIOS ANTERIORES,"          15.337.268,65",79683245.54421
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31919417 - INDENIZACOES DE PESSOAL,"             630.359,87",3274971.668598
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32902110 - JUROS SOBRE A DIVIDA POR CONTRATO,"      11.090.925.359,74",57621793613.993195
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32902121 - JUROS S/A DIVIDA EXTERNA POR CONTRATO,"         753.598.844,34",3915247435.8840365
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32902201 - ENCARGOS COM INSTITUICOES FINANCEIRAS,"                 132,16",686.624064
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32902210 - OUTROS ENCARGOS S/A DIVIDA POR CONTRATO,"         128.189.839,92",665997494.320368
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32902221 - ENCARGOS S/A DIVIDA EXTERNA POR CONTRATO,"          19.552.559,62",101583368.249748
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32912110 - JUROS SOBRE A DIVIDA POR CONTRATO,"          38.778.608,60",201470383.12044
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32912121 - JUROS S/A DIVIDA EXTERNA POR CONTRATO,"          15.748.535,75",81819942.63555
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32912210 - OUTROS ENCARGOS S/A DIVIDA POR CONTRATO,"             838.184,31",4354702.764174
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32912221 - ENCARGOS S/A DIVIDA EXTERNA POR CONTRATO,"             432.812,19",2248632.451926
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33403001 - TRANSF.PARA MATERIAL DE CONSUMO,"         139.672.563,97",725654838.849738
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33403347 - TRANSPORTE ESCOLAR,"         590.066.086,89",3065629347.828306
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33403901 - TRANSFERENCIAS PARA SERVICOS,"         233.543.382,98",1213351291.934292
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33413001 - TRANSFERENCIAS PARA MATERIAL DE CONSUMO,"          93.020.014,31",483276182.34617406
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33413901 - TRANSFERENCIAS PARA SERVICOS,"          21.996.246,03",114279296.624262
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33413999 - OUTROS SERVICOS DE TERCEIROS,"         157.151.462,20",816464706.71388
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33503977 - CONVENIOS C/ENTID.PRIVADAS S/FINS LUCRATIVOS,"          10.977.639,36",57033227.530944
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504104 - CONTR.A ENT.PRIVAD.S/FINS LUCRATIV  EXERC.AN,"             627.051,26",3257782.116204
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504106 - CONTR.A APM-PDDE PAULISTA-LEI 17.149/2019,"         426.899.500,00",2217913662.3
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504372 - LEITO-DIA                 EXERCICIO ANTERIOR,"             411.000,00",2135309.4
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504374 - CONV.C/UNIV.E FACULD.S/FINS LUCRATIVOS,"         249.860.206,69",1298123717.8372262
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504376 - SUBVENCOES A ENTIDADES DE SAUDE,"         555.839.279,93",2887807394.948322
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504379 - CONVENIOS COM ORGANIZACOES SOCIAIS,"         277.228.323,77",1440312033.314658
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504381 - TERMO DE COLABORACAO COM ORGS.SOCIEDADE CIVI,"          69.417.094,94",360649575.051276
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504382 - TERMO DE FOMENTO COM ORGS.DA SOCIEDADE CIVIL,"           4.204.440,00",21843747.576
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504390 - OUTRAS SUBVENCOES SOCIAIS,"       1.047.348.578,96",5441394807.128784
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33604504 - SUBVENCOES ECONOMICAS,"           2.360.000,00",12261144.0
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33674505 - CONTRAP.PECUN.P/PREST.SERV.EM CONC.PATROC.PP,"          64.364.546,00",334399562.2884
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33678301 - CONTRAP.PECUN.P/PREST.SERV.EM CONCES.ADM.PPP,"         309.408.315,87",1607499964.270998
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33704110 - TRANSF.A INST.MULTIGOVERN.NACIONAIS,"          97.295.453,50",505488799.1139
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33900810 - AUXILIO-CRECHE E AUXILIO-ESCOLA,"          13.179.143,71",68470923.23093401
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33900841 - AUXILIO FUNERAL - OUTROS PODERES,"           1.555.822,51",8083120.268454
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33900842 - AUXILIO FUNERAL - PODER EXECUTIVO,"          30.374.820,44",157809342.113976
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33900844 - AUXILIO FUNERAL - OUTROS PODERES - INATIVOS,"             363.211,29",1887027.936066
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33900845 - AUXILIO FUNERAL - PODER EXECUTIVO - INATIVOS,"           1.830.565,87",9510521.920998001
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33900846 - AUXILIO SAUDE - OUTROS PODERES,"              14.670,06",76216.829724
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901401 - DIARIAS PESSOAL CIVIL,"          94.681.133,69",491906361.97302604
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901403 - DIARIA ESPEC.JORNADA EXTR. TRAB.PENITENCIARI,"          37.998.996,56",197419986.72782403
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901404 - DIARIA ESP.JOR.EXTR.TRAB.POL.CIVIL-LC 1280/1,"             977.961,58",5080901.592732
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901416 - DIARIAS NO EXTERIOR,"           3.077.255,90",15987575.302860001
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901501 - DIARIAS PESSOAL MILITAR,"          13.544.195,09",70367511.170586
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901502 - DIARIAS MILITAR-EM SERVS.DE SEGURANCA PESSOA,"             625.338,77",3248885.0456580003
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901503 - DIARIA ESP JORN EXT TRAB POL. MILITAR-DEJEM,"         212.550.311,23",1104283886.9643419
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901801 - AUXILIO FINANCEIRO A ESTUDANTES,"          32.286.172,11",167739578.580294
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901803 - AUX.FIN.A ESTUD.CONCEDIDO PELAS UNIV.PAULIST,"         105.439.812,78",547802003.317212
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33902001 - AUXILIO FINAN.A PESQUISADORES-PESQ.INDIVIDUA,"         953.964.583,44",4956227596.804176
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33902002 - AUXíLIO FINAN.A PESQUISADORES-PESQ.COLETIVA,"              12.682,32",65889.725328
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903010 - GENEROS ALIMENTICIOS,"         523.514.290,17",2719866143.149218
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903011 - GENEROS ALIMENTICIOS PPAIS - LEI 14.591/11,"          10.192.934,17",52956370.186818
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903012 - MATERIAL DE CAMA, MESA E BANHO","           4.824.986,50",25067734.8621
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903013 - MATERIAL E UTENS.P/REFEITORIO,COPA E COZINHA","           9.800.861,20",50919394.27848
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903014 - MATERIAL DE LIMPEZA,"           8.628.176,33",44826827.304882005
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903015 - ARTIGOS DE HIGIENE PESSOAL,"          49.398.768,26",256646360.618004
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903016 - MATERIAL DE ACONDICIONAMENTO E EMBALAGEM,"           7.809.052,89",40571153.384706
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903019 - LUBRIFICANTE AUTOMOTIVO,"             502.407,55",2610208.1852700002
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903021 - GASOLINA AUTOMOTIVA,"             415.638,71",2159409.3539340002
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903022 - DIESEL AUTOMOTIVO,"           2.727.135,58",14168560.192332001
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903023 - ETANOL AUTOMOTIVO,"           1.400.435,43",7275822.233022
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903024 - OUTROS COMBUSTIVEIS E LUBRIFICANTES,"          47.550.523,59",247043990.25948602
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903025 - GASOLINA AUTOMOTIVA-REEMBOLSO,"          47.084.865,09",244624708.08858603
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903026 - CESTAS BASICAS,"             545.124,55",2832140.0870700004
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903027 - ETANOL AUTOMOTIVO-REEMBOLSO,"         120.031.554,75",623611939.5481501
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903028 - DIESEL AUTOMOTIVO-REEMBOLSO,"          24.932.918,06",129536482.488924
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903029 - OUTROS COMBUSTIVEIS E LUBRIFICANTES-REEMBOLS,"           6.629.587,79",34443360.404166
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903030 - MEDICAMENTOS E INSUMOS FARMACEUTICOS,"         898.943.332,33",4670370188.787282
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903031 - MATERIAL MEDICO,HOSPITALAR E ODONTOLOGICO","         349.729.881,58",1816986626.760732
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903032 - MATERIAL DE USO LABORATORIAL,"          96.189.907,15",499745043.6071101
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903034 - MATERIAL DE USO VETERINARIO,"           1.935.037,24",10053292.476696
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903035 - MEDICAMENTOS FORNECIDOS POR DECISãO JUDICIAL,"         455.330.118,65",2365622098.43421
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903036 - OUT.MAT.CONS.DECORRENTE DE DECISAO JUDICIAL,"          80.967.666,94",420659416.820076
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903039 - MATERIAL ESPORTIVO E DE LAZER,"           1.933.640,30",10046034.814620001
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903040 - MATERIAL EDUCATIVO E CULTURAL,"          20.448.357,96",106237398.94538401
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903041 - MATERIAL DE ESCRITORIO PAPELARIA E IMPRESSOS,"          18.397.968,93",95584807.778922
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903042 - MATERIAL PARA FOTOGRAFIA E FILMAGEM,"             419.456,53",2179244.4559620004
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903043 - LIVROS P/BIBLIO.PUBLI,MAPAS,OUTRAS PUBLICACA","          16.832.787,58",87453064.59313199
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903044 - BANDEIRAS, FLAMULAS, INSIGNIAS","             326.494,14",1696267.6549560002
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903050 - PECAS DE REPOSICAO E ACESSORIOS,"          48.856.587,11",253829512.671294
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903051 - FERRAM.AVULSAS NAO ACION.P/FORCA MOTRIZ,"             589.970,00",3065130.1380000003
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903052 - MATERIAL P/ CONSERVACAO E MANUT. DE IMOVEIS,"          14.631.530,28",76016652.416712
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903053 - PECAS E ACESSORIOS PARA VIATURAS POLICIAIS,"           4.040.873,51",20993954.233854
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903054 - MATERIAL INSTALACAO ELETRICA E ELETRONICA,"           5.798.938,17",30127803.368418
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903055 - MATERIAL PARA TELECOMUNICACOES,"          12.242.620,32",63605309.61052801
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903060 - MATERIAIS E SUPRIMENTOS DE INFORMATICA,"          12.392.879,53",64385966.310162
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903061 - PECAS E ACESSOR.E COMPONENTES DE INFORMATICA,"          11.575.407,14",60138870.255156
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903062 - MUNICOES E EXPLOSIVOS,"          35.528.253,00",184583485.6362
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903063 - FARDAMENTO,VESTUARIO,UNIFOR,TECIDO, AVIAMENT","          41.104.339,03",213553482.99646202
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903064 - PECAS P/VIATURAS PELO REGIME DE ADIANTAMENTO,"           5.172.150,19",26871389.097126003
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903065 - PECAS E ACESS.P/VIATURAS ESCOLTA/CUSTODEADOS,"             601.304,48",3124017.295392
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903066 - MATERIAL PROT.SEGUR.SOCORRO E SOBREVIVENCIA,"          13.769.939,69",71540344.665426
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903080 - ANIMAIS PARA ABATE,EXPERIMENTO E SEMEM","             335.651,66",1743844.634364
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903081 - ALIMENTOS PARA ANIMAIS,"           9.699.575,42",50393174.137068
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903082 - SEMENTES E MUDAS DE PLANTAS,"             708.813,73",3682570.852842
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903090 - OUTROS MATERIAIS DE CONSUMO,"          63.031.062,34",327471581.28123605
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903101 - PREMIO EM PECUNIA,"          45.542.050,40",236609168.64816
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903102 - OUTRAS PREMIACOES,"             200.032,61",1039249.421994
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903295 - MATERIAL OU BEM PARA DISTRIBUICAO GRATUITA,"          18.001.236,37",93523623.436698
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903340 - REGIME DE QUILOMETRAGEM,"           1.476.753,15",7672323.31551
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903342 - PASSAGENS AEREAS        EXERCICIO ANTERIOR.,"          15.593.392,29",81013910.30346599
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903343 - LOCACAO DE VEICULOS,AERONAVES E OUTROS","          79.663.726,15",413884922.83971006
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903344 - VALE-TRANSPORTE,"          56.401.239,99",293027002.24404603
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903345 - OUTRAS DESP.C/TRANSPORTES E LOCOMOCAO,"          67.277.537,97",349533720.769338
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903346 - LOCOMOCAO DE SERVIDORES,"          18.427.016,80",95735723.08272001
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903347 - TRANSPORTE ESCOLAR,"         115.971.960,59",602520724.049286
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903501 - OUTROS SERV.CONSULTORIA,ASSESS.E AUDITORIA","          10.520.017,36",54655698.192144
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903503 - SERVICOS DE CONSULTORIA-PESSOA FISICA,"             645.896,96",3355693.065984
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903504 - SERVICOS DE CONSULTORIA-PESSOA JURIDICA,"             592.800,83",3079837.432182
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903505 - SERVICOS DE CONSULTORIA-ORGANISMO INTERNACIO,"           2.203.022,09",11445580.966386
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903506 - ASSESSORIA DE IMPRENSA E COMUNICACAO,"          18.530.294,40",96272291.52576
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903507 - AUDITORIA EXTERNA,"             127.241,66",661071.320364
